videoId,text,likeCount,published,text_raw,text_clean,tokens,is_question,question_category,question_confidence,llm_error
mQo4xmzyIgY,4:53 해주세요,6,2026-08-11 11:14:42+00:00,4:53 해주세요,4 53 해주세요,[],True,보스,0.9,
mQo4xmzyIgY,1주차라는게 영상업로드 기준인가요 아니면 이번 목요일부터 시작되는건가요!!? 유입 4일차라 여쭙습니다,1,2026-08-11 10:06:43+00:00,1주차라는게 영상업로드 기준인가요 아니면 이번 목요일부터 시작되는건가요!!? 유입 4일차라 여쭙습니다,1주차라는게 영상업로드 기준인가요 아니면 이번 목요일부터 시작되는건가요 ? 유입 4일차라 여쭙습니다,"['주', '차', '것', '영상', '업로드', '기준', '이번', '목요일', '시작', '거', '유입', '일', '차', '여쭙']",True,이벤트,1.0,
6nCTgra84_8,라방일정은 어떻게 아나요?,0,2026-08-11 10:04:09+00:00,라방일정은 어떻게 아나요?,라방일정은 어떻게 아나요?,"['라', '방', '일정', '어떻', '알']",True,기타,1.0,
mQo4xmzyIgY,리프하면 방어구 없어지는거 아닌가여?,1,2026-08-11 10:01:02+00:00,리프하면 방어구 없어지는거 아닌가여?,리프하면 방어구 없어지는거 아닌가여?,"['리프', '방어', '구', '없', '거']",True,장비_아이템,0.95,
mQo4xmzyIgY,1억에서 2억으로 갈 때 칠흑은 어느부위 부터 가는게 정배일까요,1,2026-08-11 09:56:46+00:00,1억에서 2억으로 갈 때 칠흑은 어느부위 부터 가는게 정배일까요,1억에서 2억으로 갈 때 칠흑은 어느부위 부터 가는게 정배일까요,"['가', '때', '칠흑', '부위', '가', '것', '배']",True,장비_아이템,1.0,
mQo4xmzyIgY,"항상 감사합니다
좋아요 댓글은 채널유지에 큰힘이 됩니다!

0:21 전투력 1억 필수인 해방 무기 패스 사야할까?
01:42 검밑솔에서 데미지가 안나오는 이유
03:35 전투력 1억은 어떻게 가는가?
05:48 전투력 2~3억은 괴수인가!


영상과 상관없는 내용이나 과도한 직업비하는
삭제가 되니까 이부분 양해부탁드립니다

채널에 가입하여 혜택을 누려보세요.
https://www.youtube.com/channel/UClLl6MY6ad9f_bZDHxdzqww/join

잼이카페
cafe.naver.com/zamegame

잼이 치지직
https://chzzk.naver.com/fc472e07e10f4e2fb7ee9db67d29120d

목 건강이 나빠서 이중 더빙을 하고 있습니다

ai 성우 사용중입니다

[메이플 장편] 월수금 1편씩 오후 6시 업로드",1,2026-08-11 09:52:10+00:00,"항상 감사합니다
좋아요 댓글은 채널유지에 큰힘이 됩니다!

0:21 전투력 1억 필수인 해방 무기 패스 사야할까?
01:42 검밑솔에서 데미지가 안나오는 이유
03:35 전투력 1억은 어떻게 가는가?
05:48 전투력 2~3억은 괴수인가!


영상과 상관없는 내용이나 과도한 직업비하는
삭제가 되니까 이부분 양해부탁드립니다

채널에 가입하여 혜택을 누려보세요.
https://www.youtube.com/channel/UClLl6MY6ad9f_bZDHxdzqww/join

잼이카페
cafe.naver.com/zamegame

잼이 치지직
https://chzzk.naver.com/fc472e07e10f4e2fb7ee9db67d29120d

목 건강이 나빠서 이중 더빙을 하고 있습니다

ai 성우 사용중입니다

[메이플 장편] 월수금 1편씩 오후 6시 업로드",항상 감사합니다 좋아요 댓글은 채널유지에 큰힘이 됩니다 0 21 전투력 1억 필수인 해방 무기 패스 사야할까? 01 42 검밑솔에서 데미지가 안나오는 이유 03 35 전투력 1억은 어떻게 가는가? 05 48 전투력 2 3억은 괴수인가 영상과 상관없는 내용이나 과도한 직업비하는 삭제가 되니까 이부분 양해부탁드립니다 채널에 가입하여 혜택을 누려보세요 잼이카페 cafe naver com zamegame 잼이 치지직 목 건강이 나빠서 이중 더빙을 하고 있습니다 ai 성우 사용중입니다 메이플 장편 월수금 1편씩 오후 6시 업로드,"['감사', '좋', '댓글', '채널', '유지', '크', '힘', '되', '전투력', '필수', '해방', '무기', '패스', '사', '검', '밑', '솔', '데미지', '나오', '이유', '전투력', '어떻', '가', '전투력', '괴수', '영상', '상관없', '내용', '과도', '직업', '비하', '삭제', '되', '부분', '양해', '부탁', '드리', '채널', '가입', '혜택', '누리', '잼이카페', '잼', '목', '건강', '나쁘', '이중', '더빙', '하', '성우', '사용', '중', '메이플', '장편', '월', '수금', '편', '오후', '시', '업로드']",True,스펙업,0.95,
oHLCAyjxywA,내가잡는 림흉발은 노멀인가? 진짜 에픽빔 절대없던데 여긴 무슨 매주뜨네,0,2026-08-11 07:56:06+00:00,내가잡는 림흉발은 노멀인가? 진짜 에픽빔 절대없던데 여긴 무슨 매주뜨네,내가잡는 림흉발은 노멀인가? 진짜 에픽빔 절대없던데 여긴 무슨 매주뜨네,"['잡', '림흉발', '노멀', '에픽빔', '없', '뜨']",True,보스,0.95,
oHLCAyjxywA,맑음님 정도 스팩 이면 상위 10위권 되나? 퍼클 에도 여러번 이름 올리니까,0,2026-08-11 07:45:21+00:00,맑음님 정도 스팩 이면 상위 10위권 되나? 퍼클 에도 여러번 이름 올리니까,맑음님 정도 스팩 이면 상위 10위권 되나? 퍼클 에도 여러번 이름 올리니까,"['맑음', '정도', '스팩', '상위', '위', '되', '퍼클', '번', '이름', '올리']",True,스펙업,0.9,
oHLCAyjxywA,다음 신규 보스 추가되면 수익 어떨지 궁금하네요!,0,2026-08-11 07:09:52+00:00,다음 신규 보스 추가되면 수익 어떨지 궁금하네요!,다음 신규 보스 추가되면 수익 어떨지 궁금하네요,"['다음', '신규', '보스', '추가', '수익', '어떻', '궁금하']",True,보스,0.95,
oHLCAyjxywA,달에 약 240만원정도 벌기 위해 총 큰 거 몇장정도 썼을려나 궁금하다,1,2026-08-11 06:47:48+00:00,달에 약 240만원정도 벌기 위해 총 큰 거 몇장정도 썼을려나 궁금하다,달에 약 240만원정도 벌기 위해 총 큰 거 몇장정도 썼을려나 궁금하다,"['달', '원', '정도', '벌', '위하', '크', '거', '장', '정도', '쓰']",True,재화_경제,0.9,
oHLCAyjxywA,근데 1주차 결정이 196억인데 칠흑이랑 이거저거 합쳐서 204억인건가여..?,0,2026-08-11 05:18:43+00:00,근데 1주차 결정이 196억인데 칠흑이랑 이거저거 합쳐서 204억인건가여..?,근데 1주차 결정이 196억인데 칠흑이랑 이거저거 합쳐서 204억인건가여 ?,"['주', '차', '결정', '칠흑', '합치', '거']",True,보스,0.95,
oHLCAyjxywA,보스로만 번거지요? ㄷㄷ,0,2026-08-11 05:14:23+00:00,보스로만 번거지요? ㄷㄷ,보스로만 번거지요? ㄷㄷ,"['보스', '벌', '거']",True,보스,0.9,
6nCTgra84_8,이번 업데이트때 결정석 너프도 같이 올것같은데,0,2026-08-09 23:27:12+00:00,이번 업데이트때 결정석 너프도 같이 올것같은데,이번 업데이트때 결정석 너프도 같이 올것같은데,"['이번', '업데이트', '때', '결정', '석', '너프', '오', '것', '같']",True,이벤트,0.8,
6nCTgra84_8,오늘은 앞쪽이 피아노 브금 머야!!,0,2026-08-09 22:57:10+00:00,오늘은 앞쪽이 피아노 브금 머야!!,오늘은 앞쪽이 피아노 브금 머야,"['오늘', '앞쪽', '피아노', '브금']",True,기타,0.95,
6nCTgra84_8,모멘텀 패스 2차 있지않나,0,2026-08-09 17:44:19+00:00,모멘텀 패스 2차 있지않나,모멘텀 패스 2차 있지않나,"['모멘텀', '패스', '차', '있']",True,이벤트,0.95,
6nCTgra84_8,브금 아시는 분? 설명란에 써주면 참 좋을텐데 매번 물어보게 만드네..,0,2026-08-09 10:19:59+00:00,브금 아시는 분? 설명란에 써주면 참 좋을텐데 매번 물어보게 만드네..,브금 아시는 분? 설명란에 써주면 참 좋을텐데 매번 물어보게 만드네,"['브금', '분', '설명', '란', '쓰', '좋', '터', '묻', '만들']",True,기타,0.95,
1ArZ9wfeyqA,200렙 마지막 단계에서 문이 10분째 안열리는데 버그인가요 재접도 해봤는데..,1,2026-08-09 04:43:20+00:00,200렙 마지막 단계에서 문이 10분째 안열리는데 버그인가요 재접도 해봤는데..,200렙 마지막 단계에서 문이 10분째 안열리는데 버그인가요 재접도 해봤는데,"['200렙', '마지막', '단계', '문', '분', '열리', '버그인가요', '재접', '하']",True,시스템,1.0,
9saj1Kg7S1I,"레테하면서 하드 데미안까지 해치우고 276에 전투력 3300만까지 만들긴했는데 힐라에서 막혔어요 ㅠㅠ 패턴도 나름 다 익혔는데도 똥손이라..
무조건 제네시스 해방을 해야 한다고 하셨지만 한국 휴대폰도 카드도 없어서 지인찬스로 겨우 만든 계정에, 캐시 충전도 어려워서 패스도 못샀고요. 진짜 어떻게 해야하나요?",1,2026-08-09 04:07:52+00:00,"레테하면서 하드 데미안까지 해치우고 276에 전투력 3300만까지 만들긴했는데 힐라에서 막혔어요 ㅠㅠ 패턴도 나름 다 익혔는데도 똥손이라..
무조건 제네시스 해방을 해야 한다고 하셨지만 한국 휴대폰도 카드도 없어서 지인찬스로 겨우 만든 계정에, 캐시 충전도 어려워서 패스도 못샀고요. 진짜 어떻게 해야하나요?",레테하면서 하드 데미안까지 해치우고 276에 전투력 3300만까지 만들긴했는데 힐라에서 막혔어요 ㅠㅠ 패턴도 나름 다 익혔는데도 똥손이라 무조건 제네시스 해방을 해야 한다고 하셨지만 한국 휴대폰도 카드도 없어서 지인찬스로 겨우 만든 계정에 캐시 충전도 어려워서 패스도 못샀고요 진짜 어떻게 해야하나요?,"['레테', '하드', '데미안', '해치우', '전투력', '만들', '힐라', '막히', '패턴', '나름', '익히', '똥', '손', '제네시스', '해방', '하', '하', '한국', '휴대폰', '카드', '없', '지인', '찬스', '만들', '계정', '캐시', '충전', '어렵', '패스', '사', '어떻', '하']",True,육성_레벨링,0.95,
6nCTgra84_8,노래 뭔가요?,0,2026-08-09 03:52:24+00:00,노래 뭔가요?,노래 뭔가요?,['노래'],True,기타,1.0,
6nCTgra84_8,흉성도 이지모드 좀,0,2026-08-09 03:48:52+00:00,흉성도 이지모드 좀,흉성도 이지모드 좀,"['흉성', '이지', '모드']",True,보스,0.9,
6nCTgra84_8,홀로 싸우고 있는 이데아는 어떻게 되었을까요.?,1,2026-08-09 03:42:03+00:00,홀로 싸우고 있는 이데아는 어떻게 되었을까요.?,홀로 싸우고 있는 이데아는 어떻게 되었을까요 ?,"['싸우', '이데아', '어떻', '되']",True,기타,0.95,
6nCTgra84_8,8.9면 노벨 솔플 널널컷 가능?,0,2026-08-09 03:30:57+00:00,8.9면 노벨 솔플 널널컷 가능?,8 9면 노벨 솔플 널널컷 가능?,"['노벨', '솔플', '컷', '가능']",True,보스,1.0,
6nCTgra84_8,마깃안 루컨마가 1자릿수 억대로 떨어질까?,0,2026-08-09 03:16:00+00:00,마깃안 루컨마가 1자릿수 억대로 떨어질까?,마깃안 루컨마가 1자릿수 억대로 떨어질까?,"['마', '깃', '안', '루컨마', '자릿수', '떨어지']",True,장비_아이템,0.95,
6nCTgra84_8,음... 미하일 상향버프에 관한 소식은 없나요??,6,2026-08-09 03:07:06+00:00,음... 미하일 상향버프에 관한 소식은 없나요??,음 미하일 상향버프에 관한 소식은 없나요??,"['미하일', '상향버프', '관하', '소식', '없']",True,기타,0.95,
9saj1Kg7S1I,1억 투력 가는데 메소는 평균적으로 대략 얼마쯤 드나요,1,2026-08-08 19:47:56+00:00,1억 투력 가는데 메소는 평균적으로 대략 얼마쯤 드나요,1억 투력 가는데 메소는 평균적으로 대략 얼마쯤 드나요,"['투력', '가', '메소', '평균', '얼마', '들']",True,스펙업,1.0,
9saj1Kg7S1I,내일부터 메이플복귀할려하는데 괜찮을까요?? 아니면 이번이벤트끝나고 복귀할까요..?,1,2026-08-08 18:14:22+00:00,내일부터 메이플복귀할려하는데 괜찮을까요?? 아니면 이번이벤트끝나고 복귀할까요..?,내일부터 메이플복귀할려하는데 괜찮을까요?? 아니면 이번이벤트끝나고 복귀할까요 ?,"['내일', '메이플', '복귀', '괜찮', '이번', '이벤트', '끝나', '복귀']",True,이벤트,1.0,
9saj1Kg7S1I,"아델장아찌 <- 솔직히 챌린저는 어려울 것 같고 플라즈마 하트 교환권이 있는 다이아가 목표인 메린이입니다. 어떻게어떻게 해서 4천만까지 왔는데 하드 진힐라, 하드 듄켈, 노말 메이린 해야 딱 5만점 할 것 같더라고요. 아직까지 희망이 있을까요..? 너무 똥손이라 걱정입니다 ㅠㅠㅠ (심지어 제내 패스도 안함..)",1,2026-08-08 17:44:33+00:00,"아델장아찌 <- 솔직히 챌린저는 어려울 것 같고 플라즈마 하트 교환권이 있는 다이아가 목표인 메린이입니다. 어떻게어떻게 해서 4천만까지 왔는데 하드 진힐라, 하드 듄켈, 노말 메이린 해야 딱 5만점 할 것 같더라고요. 아직까지 희망이 있을까요..? 너무 똥손이라 걱정입니다 ㅠㅠㅠ (심지어 제내 패스도 안함..)",아델장아찌 솔직히 챌린저는 어려울 것 같고 플라즈마 하트 교환권이 있는 다이아가 목표인 메린이입니다 어떻게어떻게 해서 4천만까지 왔는데 하드 진힐라 하드 듄켈 노말 메이린 해야 딱 5만점 할 것 같더라고요 아직까지 희망이 있을까요 ? 너무 똥손이라 걱정입니다 ㅠㅠ 심지어 제내 패스도 안함,"['아델장아찌', '챌린저', '어렵', '것', '같', '플라즈마', '하트', '교환', '있', '다이아', '목표', '메린이', '어떻', '어떻', '하', '오', '하드', '진힐라', '하드', '듄켈', '노말', '메이', '린', '점', '하', '것', '같', '희망', '있', '똥', '손', '걱정', '패스', '하']",True,육성_레벨링,0.95,
9saj1Kg7S1I,챌섭 코인샵 활용법 링크가 없는건가요 ?? 제목이 틀린가요 ? 그리구 지금 제네시스 3단계고 355 흔적입니다 이번주 보스를 다 잡은 상태에서 제네시스 패스를 구매했는데 다 얻을수있을까요?,1,2026-08-08 17:37:06+00:00,챌섭 코인샵 활용법 링크가 없는건가요 ?? 제목이 틀린가요 ? 그리구 지금 제네시스 3단계고 355 흔적입니다 이번주 보스를 다 잡은 상태에서 제네시스 패스를 구매했는데 다 얻을수있을까요?,챌섭 코인샵 활용법 링크가 없는건가요 ?? 제목이 틀린가요 ? 그리구 지금 제네시스 3단계고 355 흔적입니다 이번주 보스를 다 잡은 상태에서 제네시스 패스를 구매했는데 다 얻을수있을까요?,"['챌섭', '코인', '샵', '활용법', '링크', '없', '거', '제목', '틀리', '제네시스', '단계', '고', '흔적', '이번', '주', '보스', '잡', '상태', '제네시스', '패스', '구매', '얻', '수', '있']",True,이벤트,0.95,
9mbc6ESMMvo,형님 메m 렌 이벤트 공략좀 올려주세요,0,2026-08-08 17:35:31+00:00,형님 메m 렌 이벤트 공략좀 올려주세요,형님 메m 렌 이벤트 공략좀 올려주세요,"['형', '메', '렌', '이벤트', '공략', '올리']",True,이벤트,0.95,
9saj1Kg7S1I,제가 진짜 메이플 아예 처음인데 환산주스텟 이게 뭔지 자세히 설명이랑 어떻게 해야 하는지 영상이나 댓글 남겨 주실수 있나요,1,2026-08-08 17:17:24+00:00,제가 진짜 메이플 아예 처음인데 환산주스텟 이게 뭔지 자세히 설명이랑 어떻게 해야 하는지 영상이나 댓글 남겨 주실수 있나요,제가 진짜 메이플 아예 처음인데 환산주스텟 이게 뭔지 자세히 설명이랑 어떻게 해야 하는지 영상이나 댓글 남겨 주실수 있나요,"['메이플', '처음', '환산주스텟', '설명', '어떻', '하', '영상', '댓글', '남기', '수', '있']",True,스펙업,1.0,
9saj1Kg7S1I,"뿨킹 듀블은 투력 1.2를 찍어도 배율이 90프로...헥환도 4.35 정돈데 대체 어느정도까지 해줘야 하는지ㅠㅠ 아버 끝까지 올렸고 장신구들도 윗잠 평균 18퍼, 에디 평균 1.7줄에 추옵은 평균 120급에 3부위빼고 18 둘둘인데",1,2026-08-08 15:33:08+00:00,"뿨킹 듀블은 투력 1.2를 찍어도 배율이 90프로...헥환도 4.35 정돈데 대체 어느정도까지 해줘야 하는지ㅠㅠ 아버 끝까지 올렸고 장신구들도 윗잠 평균 18퍼, 에디 평균 1.7줄에 추옵은 평균 120급에 3부위빼고 18 둘둘인데",뿨킹 듀블은 투력 1 2를 찍어도 배율이 90프로 헥환도 4 35 정돈데 대체 어느정도까지 해줘야 하는지ㅠㅠ 아버 끝까지 올렸고 장신구들도 윗잠 평균 18퍼 에디 평균 1 7줄에 추옵은 평균 120급에 3부위빼고 18 둘둘인데,"['뿨킹', '듀블', '투력', '찍', '배율', '프로', '도', '정도', '정도', '하', '아버', '끝', '올리', '장신구', '잠', '평균', '퍼', '에디', '평균', '줄', '추', '평균', '급', '부위', '빼']",True,스펙업,0.95,
9saj1Kg7S1I,"레벨 278에 전투력 1천4백정도인데.. 
어떻게 전투력을 올리는지 몰라서 답답했는데 이런 영상 감사합니다ㅠㅠ 가이드 없으면 진짜 게임이 복잡하네요ㅜㅠ",1,2026-08-08 15:20:18+00:00,"레벨 278에 전투력 1천4백정도인데.. 
어떻게 전투력을 올리는지 몰라서 답답했는데 이런 영상 감사합니다ㅠㅠ 가이드 없으면 진짜 게임이 복잡하네요ㅜㅠ",레벨 278에 전투력 1천4백정도인데 어떻게 전투력을 올리는지 몰라서 답답했는데 이런 영상 감사합니다ㅠㅠ 가이드 없으면 진짜 게임이 복잡하네요ㅜㅠ,"['레벨', '전투력', '정도', '어떻', '전투력', '올리', '모르', '답답하', '영상', '감사', '가이드', '없', '게임']",True,스펙업,0.9,
vtXkiF-GE9I,"8:47 신규 기능이 아니라 변경 아닌가?
심상세계에서 추가 공격 원래 100% 발동하던게 50% 확률로 너프된게 아니였나?
내가 틀린건가보네",0,2026-08-08 12:00:29+00:00,"8:47 신규 기능이 아니라 변경 아닌가?
심상세계에서 추가 공격 원래 100% 발동하던게 50% 확률로 너프된게 아니였나?
내가 틀린건가보네",8 47 신규 기능이 아니라 변경 아닌가? 심상세계에서 추가 공격 원래 100 발동하던게 50 확률로 너프된게 아니였나? 내가 틀린건가보네,"['신규', '기능', '변경', '심상', '세계', '추가', '공격', '원래', '발동', '것', '확률', '너프', '것', '틀리', '거']",True,시스템,0.95,
FMUmSNtWlEU,지금 시작해도 260 갈만한가요?,3,2026-08-08 10:59:12+00:00,지금 시작해도 260 갈만한가요?,지금 시작해도 260 갈만한가요?,"['시작', '가', '만']",True,육성_레벨링,1.0,
9saj1Kg7S1I,메이플 지금 시작하는건 늦었나요,1,2026-08-08 07:39:34+00:00,메이플 지금 시작하는건 늦었나요,메이플 지금 시작하는건 늦었나요,"['메이플', '시작', '거', '늦']",True,육성_레벨링,1.0,
9saj1Kg7S1I,담 하버맥스 언제쯤 할까요 도전자 장비 끝날때쯤??,1,2026-08-08 01:53:38+00:00,담 하버맥스 언제쯤 할까요 도전자 장비 끝날때쯤??,담 하버맥스 언제쯤 할까요 도전자 장비 끝날때쯤??,"['담', '하버맥스', '하', '도전자', '장비', '끝나', '때']",True,이벤트,0.95,
9saj1Kg7S1I,"안녕하세요 뉴비인데 제가 지금 트왈이라이트,에스텔라,데이브레이크? 이렇게 있는데 놀긍떡작을 하라고 해서 모두다 놀긍떡장을 했는데 프리미엄 악세 마력 주문서 이거 코인같은걸로 사서 작해도 될가요? 아니면 그냥 놀긍작 떡으로 놔둘까여? 지금은 챌섭 60500점이고 9만점 찍어서 야누스 20 받고 싶어서요",1,2026-08-08 01:27:43+00:00,"안녕하세요 뉴비인데 제가 지금 트왈이라이트,에스텔라,데이브레이크? 이렇게 있는데 놀긍떡작을 하라고 해서 모두다 놀긍떡장을 했는데 프리미엄 악세 마력 주문서 이거 코인같은걸로 사서 작해도 될가요? 아니면 그냥 놀긍작 떡으로 놔둘까여? 지금은 챌섭 60500점이고 9만점 찍어서 야누스 20 받고 싶어서요",안녕하세요 뉴비인데 제가 지금 트왈이라이트 에스텔라 데이브레이크? 이렇게 있는데 놀긍떡작을 하라고 해서 모두다 놀긍떡장을 했는데 프리미엄 악세 마력 주문서 이거 코인같은걸로 사서 작해도 될가요? 아니면 그냥 놀긍작 떡으로 놔둘까여? 지금은 챌섭 60500점이고 9만점 찍어서 야누스 20 받고 싶어서요,"['안녕', '뉴비', '트왈이라이트', '에스텔라', '데이브레이크', '있', '데', '놀긍떡작', '하', '하', '놀긍떡장', '하', '프리미엄', '악', '마력', '주문서', '코인', '같', '걸', '사', '작', '되', '가', '놀긍작', '떡', '놔두', '지금', '챌섭', '점', '점', '찍', '야누스', '받']",True,장비_아이템,0.95,
9saj1Kg7S1I,현재 투력 5000이고 다음주 해방인데 챌린저 가능할까요..?,1,2026-08-08 01:11:43+00:00,현재 투력 5000이고 다음주 해방인데 챌린저 가능할까요..?,현재 투력 500이고 다음주 해방인데 챌린저 가능할까요 ?,"['투력', '다음', '주', '해방', '챌린저', '가능']",True,보스,0.95,
9saj1Kg7S1I,챌린져노리는 메린이입니다 현재 대적자 트라이중인데 제네 무기 잠재 공공올인데 블큐를 다른데 쓸까여?,1,2026-08-08 00:50:00+00:00,챌린져노리는 메린이입니다 현재 대적자 트라이중인데 제네 무기 잠재 공공올인데 블큐를 다른데 쓸까여?,챌린져노리는 메린이입니다 현재 대적자 트라이중인데 제네 무기 잠재 공공올인데 블큐를 다른데 쓸까여?,"['챌린져노리', '메린이', '적자', '트라이', '중', '무기', '잠재', '공공올', '큐', '데', '쓰']",True,장비_아이템,0.95,
9saj1Kg7S1I,3카5앱시절 메플하다가 거진 7년만에 복귀한 메린입니당.. 그래도 이래저래 공략보고 이지칼로스까지 우여곡절끝에 잡앗는데 대적자부터 벽느껴요 챌린저 가능할까요..  현금을투자해서 장비업그레이드가 답인가요?,1,2026-08-07 23:55:33+00:00,3카5앱시절 메플하다가 거진 7년만에 복귀한 메린입니당.. 그래도 이래저래 공략보고 이지칼로스까지 우여곡절끝에 잡앗는데 대적자부터 벽느껴요 챌린저 가능할까요..  현금을투자해서 장비업그레이드가 답인가요?,3카5앱시절 메플하다가 거진 7년만에 복귀한 메린입니당 그래도 이래저래 공략보고 이지칼로스까지 우여곡절끝에 잡앗는데 대적자부터 벽느껴요 챌린저 가능할까요 현금을투자해서 장비업그레이드가 답인가요?,"['카', '앱', '시절', '메플', '하', '년', '만', '복귀', '메린', '공략', '보', '이지칼로스', '우여곡절', '끝', '잡', '앗', '대적', '벽', '느끼', '챌린저', '가능', '현금', '투자', '장비', '업그레이드', '답']",True,스펙업,0.95,
