canonical_term_candidate,aliases_candidate,category_candidate,document_frequency,title_document_frequency,weighted_frequency,category_purity,category_confidence,score,example_1,example_2,example_3,review_status,keep,final_term,final_category,aliases,review_note
무기,,아이템,173,47,258,0.8728323699421965,0.6669187862135137,9.293553411008961,헥환 8만 목표 과금 어느정도 해야할까요?,유챔 하드 세렌급 보조 스펙 질문 있습니다!,제네무기 추옵이랑 에디 건드려야할까요 ?,후보,N,,,,
코인,,아이템,116,42,189,0.8275862068965517,0.7387657925530182,8.81173526334002,메고수 형님들 해방무기 질문입니다!!,해방무기 제네플러스 코인 어떤거 할까요??,제네플러스 보스 연모6인으로 패도되나여?,후보,Y,,,,
에테,,아이템,125,32,219,0.904,0.7561827332370453,8.701280248625796,헥환 8만 목표 과금 어느정도 해야할까요?,템 가성비 셋팅 질문,뉴비 아버 템 대체질문,후보,Y,,,,
18성,,아이템,183,17,274,0.8797814207650273,0.764801246540448,8.59181721611849,헥환 8만 목표 과금 어느정도 해야할까요?,템 가성비 셋팅 질문,하메 도전 메린이 인데 템셋 질문있슴다,후보,Y,,,,
대적자,,아이템,122,42,187,0.860655737704918,0.65466272164469,8.47357815027106,헥환 8만 목표 과금 어느정도 해야할까요?,제네무기 에디 고민 유니크 15 vs 레전 등업,대적자의 큐브질문,후보,Y,,,,
해방무기,해방 무기,아이템,79,33,123,0.8987341772151899,0.8598280286067423,8.385786369823268,메고수 형님들 해방무기 질문입니다!!,메린이 해방무기 질문,해방무기 제네플러스 코인 어떤거 할까요??,후보,Y,,,,
사용처,,아이템,53,44,100,0.9245283018867925,0.84595050530673,7.886268668215494,화에큐 사용처 질문,에디 레전 천장 사용처가 고민입니다....,챌섭 블큐 화에큐 사용처 및 챌 달성 질문,후보,N,,,,
하트,,아이템,96,19,143,0.8645833333333334,0.8152536188230071,7.883731578933509,플라즈마 하트 스페어 질문,무보 잇는상태에서 유챔 템셋팅질문점여,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,후보,N,,,,
옵션,,아이템,100,24,153,0.86,0.7349917754911272,7.869723581630066,에디 레전 천장 사용처가 고민입니다....,메린이 에디 레전 천장 어떻게 하는게 좋을까요,챌섭 아케인셰이드 장갑 극추옵 질문드립니다,후보,N,,,,
블큐,,아이템,85,15,121,0.9294117647058824,0.900993488910431,7.755453880240375,해방무기 제네플러스 코인 어떤거 할까요??,챌섭 스펙업 어떻게 할까요? 미트라? 보장?,챌섭 블큐 화에큐 사용처 및 챌 달성 질문,후보,Y,,,,
유니크,,아이템,161,12,217,0.8695652173913043,0.7152796904542151,7.720837886714188,제네무기 에디 고민 유니크 15 vs 레전 등업,하메 도전 메린이 인데 템셋 질문있슴다,코인샵 코인 어디에 쓸까요?,후보,Y,,,,
칠흑,,아이템,89,18,134,0.9213483146067416,0.817764752426299,7.702445640126649,헥환 8만 목표 과금 어느정도 해야할까요?,선생님들 헥사환산 몇을 목표로 잡아야할까요?,칠흑 보통 얼마정도 하나요?,후보,Y,,,,
보조무기,보조 무기,아이템,88,31,154,0.8409090909090909,0.6723396949016693,7.655607252319712,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,아스트라 보조무기 질문있습니다.,렌] 아스트라 보조무기 전승해도 될까요?,후보,Y,,,,
아랫잠,,아이템,104,12,156,0.9519230769230769,0.8213125887153131,7.4993566987430915,제네무기 윗잠 아랫잠 뭐돌릴까요...,제네무기 어디를 건드려야 될까요?,윗잠 아랫잠중 어느거 돌려야하나요,후보,Y,,,,
장갑,,아이템,84,20,129,0.9047619047619048,0.7459811261347897,7.420748629832413,헥환 8만 목표 과금 어느정도 해야할까요?,에테 장갑은 크주 vs 쌍크 어느게 가성비 좋나요,에디 레전 천장 사용처가 고민입니다....,후보,Y,,,,
장신구,,아이템,107,12,137,0.897196261682243,0.7807752579484764,7.376825954559113,헥환 8만 목표 과금 어느정도 해야할까요?,유챔 하드 세렌급 보조 스펙 질문 있습니다!,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,후보,N,,,,
대적자 코인,대적자코인,아이템,46,24,81,0.9565217391304348,0.9382930923104487,7.33458994454853,윗잠 아랫잠중 어느거 돌려야하나요,남은 대적자 코인 어디에 터는게 정배일까요,뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!,후보,N,,,,
템셋,,아이템,55,38,98,0.8545454545454545,0.6913624711287603,7.145574221840334,출석 보돌만 하다가 제대로 복귀해보려하는데 템셋 질문좀여,하메 도전 메린이 인데 템셋 질문있슴다,메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!,후보,Y,,,,
방어구,,아이템,66,15,95,0.9242424242424242,0.8328328521102097,7.058292117843081,헥환 8만 목표 과금 어느정도 해야할까요?,유챔 하드 세렌급 보조 스펙 질문 있습니다!,"익스우, 노흉 목표 템 진로 질문좀요",후보,Y,,,,
화에큐,,아이템,91,12,138,0.8791208791208791,0.75864226008286,7.035656047116886,화에큐 사용처 질문,해방무기 제네플러스 코인 어떤거 할까요??,제네무기 어디를 건드려야 될까요?,후보,Y,,,,
엠블렘,,아이템,84,14,122,0.8809523809523809,0.7325930940453158,6.975357462310372,유챔 하드 세렌급 보조 스펙 질문 있습니다!,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,코인샵 코인 어디에 쓸까요?,후보,Y,,,,
17성,,아이템,124,13,182,0.8225806451612904,0.6078547665216124,6.954753897414077,템 가성비 셋팅 질문,선생님들 헥사환산 몇을 목표로 잡아야할까요?,핵환 4.4 도미먹었는디,후보,Y,,,,
드메템,,아이템,58,25,106,0.8793103448275862,0.7192636219812153,6.931246221263323,형님들 드메템 vs 보스용장비 뭐 먼저맞추는게좋을까요?,메린이 챌린저 달았는데 이제 세팅 뭐부터할까요?,선생님들 메린이 진로 추천 부탁드리겠습니다,후보,Y,,,,
이벤링,,아이템,72,15,113,0.8611111111111112,0.7609402402193808,6.919758436288797,보스방 드랍율이랑 일반 맵 드랍율이 다른가요?,이벤링 큐브 질문,본섭 깡통캐릭 유챔하는거 별로일까요?,후보,Y,,,,
템셋팅,,아이템,49,36,95,0.8163265306122449,0.6921650624243049,6.895421340448866,헥환 8만 목표 과금 어느정도 해야할까요?,메린이 하드메이린 목표 템셋 봐주시면 감사하겠습니다!,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,후보,N,,,,
카레잠,,아이템,54,27,95,0.8703703703703703,0.7050258616228919,6.831449796257128,카레잠 카에유잠 제네무기에 쓰는거 괜찮죠?,메쌤 도와줘요,카레잠 카에유잠 팔고싶어요,후보,Y,,,,
세팅,,아이템,48,20,79,0.875,0.8287131132142378,6.808701753504891,선생님들 헥사환산 몇을 목표로 잡아야할까요?,템 세팅 방향성 질문드립니다,뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!,후보,N,,,,
직작,,아이템,58,13,78,0.9310344827586207,0.8581916149956261,6.787782545500021,에테 18성 직작 vs 완작사기,칠흑 보통 얼마정도 하나요?,에테 스타포스 할만한지 아니면 사먹는게 나은지 궁금합니다.,후보,Y,,,,
여명,,아이템,101,14,131,0.8118811881188119,0.615819104867788,6.772197102377253,헥환 8만 목표 과금 어느정도 해야할까요?,하메 도전 메린이 인데 템셋 질문있슴다,선생님들 헥사환산 몇을 목표로 잡아야할까요?,후보,Y,,,,
미라클,,아이템,59,19,95,0.847457627118644,0.737575355103432,6.753966356748243,칠흑 33퍼사서 미라클때 에디레전 보내는거 어떤가요?,뉴비 보조무기 질문,챌섭 템세팅 진로 질문드려요,후보,Y,,,,
레잠,,아이템,64,17,115,0.828125,0.6735018380943688,6.521675648386869,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,메이플 늦은 유입 뉴비 현시점 제네패스 질러도 될까요?,챌린저 하고 싶은데 여기서 무보엠 바꿔주면 되나요?,후보,Y,,,,
방향성,,아이템,43,25,75,0.8837209302325582,0.7377849040042593,6.501892830272606,헥환 5만목표 방향성 궁금해요,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,살짝 과부화 오는데 방향성 한번만 잡아주실분..?,후보,N,,,,
등업,,아이템,47,11,77,0.9361702127659575,0.9102099709817099,6.4537140631208265,제네무기 에디 고민 유니크 15 vs 레전 등업,에디 레전 천장 사용처가 고민입니다....,메린이 에디 레전 천장 어떻게 하는게 좋을까요,후보,Y,,,,
대적자 큐브,대적자큐브,아이템,34,11,51,1.0,1.0,6.20576047358119,헥환 8만 목표 과금 어느정도 해야할까요?,제네무기 어디를 건드려야 될까요?,대적자 큐브 질문,후보,N,,,,
구매,,아이템,78,12,116,0.7564102564102564,0.604945991739226,6.204457664678544,MVP작 할 때 질문,"안녕하세요 메쌤, 메형님들 뉴비 질문 몇 가지만 해도 될까요?",챌섭 블큐 화에큐 사용처 및 챌 달성 질문,후보,N,,,,
미라클때,,아이템,43,11,62,0.9534883720930233,0.8717960618111791,6.181790893683339,"미라클때 만든 레전잡, 유니크3줄 칠흑 언제팔아야 할까요",대적자코인 사용처 질문,칠흑 33퍼사서 미라클때 에디레전 보내는거 어떤가요?,후보,N,,,,
어디다,,아이템,44,16,65,0.8409090909090909,0.7361205725484904,6.113044233424739,환산 7~8만 목푠데 다음 메소를 어디다 써야 해야할까요?,메린이 에디 레전 천장 어떻게 하는게 좋을까요,"익스우, 노흉 목표 템 진로 질문좀요",후보,N,,,,
여기서,,아이템,85,9,99,0.8235294117647058,0.6183340552588814,6.094080769043046,헥환 8만 목표 과금 어느정도 해야할까요?,하메 도전 메린이 인데 템셋 질문있슴다,제네무기 추옵이랑 에디 건드려야할까요 ?,후보,N,,,,
사서,,아이템,194,3,245,0.8350515463917526,0.610637000579413,6.012490548280308,mvp작,칠흑 보통 얼마정도 하나요?,챌섭에서 리프할때 템,후보,N,,,,
도미,,아이템,47,9,67,0.9148936170212766,0.8029050023326441,5.900305841802482,핵환 4.4 도미먹었는디,요즘 도미 작 어떻게 하나요?,와헌 템셋팅 질문 드립니다.,후보,Y,,,,
제네 무기,제네무기,아이템,28,13,42,0.9642857142857143,0.9491390994950946,5.879813795532668,헥환 8만 목표 과금 어느정도 해야할까요?,보통 22성 도전자셋은 환산 몇만까지 끼나요?,제네 무기 추옵 질문드립니다,후보,Y,,,,
에픽,,아이템,70,7,106,0.8571428571428571,0.666748257097408,5.768514014170577,미트라의 분노 잠재 스크롤 안됌,챌섭 파풀마 사려는데 고민이에요!,하드 메이린 잡고 싶은데 스펙업 방향을 알려주세요!,후보,Y,,,,
대적자코인,대적자 코인,아이템,34,13,55,0.8529411764705882,0.8003497843385803,5.734274537108741,메린이 해방무기 질문,제네무기 윗잠 아랫잠 뭐돌릴까요...,환산 7~8만 목푠데 다음 메소를 어디다 써야 해야할까요?,후보,Y,,,,
마깃안,,아이템,34,11,57,0.9705882352941176,0.8415140410135761,5.71399752363341,칠흑 상자에서 마깃안 먹었는데 팔까요 쓸까요,스펙업 질문!,샤타 시세질문,후보,Y,,,,
깡통,,아이템,54,9,77,0.8333333333333334,0.6825900432416231,5.70019516078305,깡통 200레벨에서 (노하버) 부스터,세트효과 어떻게 가져가는게 좋을까요,안녕하세요 선생님들 템 진로 고견좀 여쭙습니다,후보,Y,,,,
블랙보조,블랙 보조,아이템,37,8,56,0.918918918918919,0.886790860081741,5.6937350741811334,코인샵 코인 어디에 쓸까요?,마도서 먹었는데 어쩌죠?,뉴비 보조무기 질문,후보,Y,,,,
주문서,,아이템,62,7,98,0.8548387096774194,0.635021285424029,5.500012675412022,요놈 에테장비에 바를수있나요?,120억에 샀는데 ㄱㅊ은가요??,뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!,후보,Y,,,,
파풀마,,아이템,36,6,58,0.9444444444444444,0.9215674807041246,5.494601591141139,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,챌섭 스펙업 어떻게 할까요? 미트라? 보장?,헥환 4.5 이후 템셋팅 질문.,후보,Y,,,,
루컨마,,아이템,38,10,60,0.9473684210526315,0.7433399237852433,5.490660240352928,헥환 8만 목표 과금 어느정도 해야할까요?,뉴비 루컨마 시세 문의 드립니다..!!!,지금의 조건으로 어느정도 맞춰야할까요 진로상담 부탁드립니다,후보,Y,,,,
카르마,,아이템,35,9,55,0.9428571428571428,0.8115712668626088,5.488088237957271,미트라의 분노 잠재 스크롤 안됌,뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!,제네플 큐브 및 카르마 큐브 사용처 질문드립니다!,후보,Y,,,,
21퍼,,아이템,55,6,68,0.9090909090909091,0.7152437022761026,5.467548134748003,핵환 4.4 도미먹었는디,에테 18성 직작 vs 완작사기,환산 7~8만 목푠데 다음 메소를 어디다 써야 해야할까요?,후보,N,,,,
블빈마,,아이템,46,8,66,0.8913043478260869,0.706748022914246,5.451386708078758,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,4여명 5칠흑으로 7~8만 될까요?,챌섭 메린이 템세팅 질문있습니다,후보,Y,,,,
마도서,,아이템,35,6,49,0.9428571428571428,0.9193823451427399,5.446708727849074,무보 잇는상태에서 유챔 템셋팅질문점여,마도서 먹었는데 어쩌죠?,메고수 형님들 템 진로좀 봐주십쇼,후보,Y,,,,
부위,,아이템,49,4,60,0.9387755102040817,0.8601960878901994,5.395378256122707,챌섭 스펙업 뭐부터해야할까요?,메린이 많이 성장했지만 다시 막막해짐..,진로 고민 도와주세요,후보,N,,,,
or,OR,아이템,52,8,64,0.8076923076923077,0.6316931519949555,5.374290442897513,제네시스 코인 투자처 질문,챌섭 챌린저 목표 템셋팅 관련 질문입니다.,제네플 큐브 및 카르마 큐브 사용처 질문드립니다!,후보,N,,,,
챌섭 유입,챌섭유입,아이템,29,16,47,0.8620689655172413,0.7031255777727409,5.358112027904814,챌섭 유입 메린이 템 진로 고민입니다 !!,메이플 챌섭 뉴비 아이템 추가 스펙업 질문합니다!,드랍셋,후보,N,,,,
메멘토,,아이템,34,9,51,0.9117647058823529,0.7728997439925499,5.328712122541387,"익스우, 노흉 목표 템 진로 질문좀요",여명셋 질문 있습니다!,헥환 7만 중반 ~ 8만 목표 레테 템세팅 조언 부탁드립니다.,후보,Y,,,,
스펙업 순서,,아이템,19,12,35,1.0,1.0,5.30090274460772,헥환 7만 중반 ~ 8만 목표 레테 템세팅 조언 부탁드립니다.,스펙업 순서,챌섭 메린이 스펙업 순서 질문 있어요!!,후보,N,,,,
코인샵,,아이템,47,8,63,0.8297872340425532,0.648799151948658,5.295094084478701,코인샵 코인 어디에 쓸까요?,챌섭에서 리프할때 템,뉴비) 첫 해방 무기 세팅 방법 좀 알 수 잇을까요?!,후보,Y,,,,
아스트라,,아이템,24,11,48,0.9166666666666666,0.8837590539486351,5.291910193663462,아스트라 보조무기 질문있습니다.,렌] 아스트라 보조무기 전승해도 될까요?,아스트라 전승 하는법?,후보,Y,,,,
제논,,직업,36,21,78,0.3888888888888889,0.6462942568411916,5.7285838520871435,제논 5에테,뉴비 제논 진로 방향 알려주실분,선생님들 제논 추옵 어떤가요,후보,Y,,,,
썬콜,,직업,38,10,58,0.39473684210526316,0.6568748181959486,5.218337837269167,솔 에르다 3개의 가치가 어느정도인가요?,하버 본캐 썬콜VS키네VS제논 (투표),본섭에 유니온 만들려는데 고민상담좀 해주십쇼..,후보,Y,,,,
아란,,직업,27,9,42,0.4074074074074074,0.6688476741236087,4.701152108533404,제네시스 코인 투자처 질문,아란 / 보공공 보보보 뭘 선택해야 할까요?,헥환 4.5 이후 템셋팅 질문.,후보,Y,,,,
제로,,직업,27,6,49,0.4444444444444444,0.7060324342003993,4.5017552823694675,챌섭 실수로 나워 리프시켰는데 버닝없이 정축 여축30 가능할까요?,대적자큐브 사용처 질문,제로<>렌 직변 해보신분 궁금합니다.,후보,Y,,,,
캡틴,,직업,19,6,31,0.3157894736842105,0.6434724242395459,3.898776782331474,직업 고민,본캐 데티해방까지 본캐만 쭉 투자해도되나요?,4여명 깨고 4흙칠흑 vs 4여명 유지 2흙칠흑,후보,Y,,,,
카데나,,직업,17,5,30,0.4117647058823529,0.7166804064649105,3.814487079496002,어려운 직업 위주로 하시는 분 있나요,메선생님들 미트라질문드립니다.,카룻을 갈까요 에테를 갈까요?,후보,Y,,,,
일리움,,직업,15,4,26,0.4666666666666667,0.7915620649924825,3.682808026176938,제네패스 플러스 재화 사용처 추천 부탁드립니다.,선생님들 챌섭 일리움 검마 잡는데 3페이지 꿀팁 있나요?,이카돌이 제네무기 우선순위,후보,Y,,,,
와헌,,직업,13,7,21,0.38461538461538464,0.7103998791036381,3.664862671062301,직업 고민,와헌 템셋팅 질문 드립니다.,챌섭 뉴비 질문입니다.,후보,N,,,,
육성,,직업,16,3,21,0.375,0.699933835181516,3.409653891003836,본캐 데티해방까지 본캐만 쭉 투자해도되나요?,챌린저스 서버 캐릭터 육성 질문,[사전월드리프] 여러 서버로 이동 불가 관련 문구 문제,후보,Y,,,,
시퀀스,,직업,11,4,23,0.6363636363636364,0.8471587152859228,3.403110588114527,오리진 패치이후 무조건 선오리진이 좋나요?,메잘알 형들 나로 질문이요ㅜㅜ,피방이랑 집이랑 추가 경험치가 차이가 안나는데 왜 그런지를 모르겠음,후보,,,,,
6차,,직업,13,4,18,0.38461538461538464,0.6820525770650747,3.2911688358733415,"안녕하세요 메쌤, 메형님들 뉴비 질문 몇 가지만 해도 될까요?",솔 에르다 3개의 가치가 어느정도인가요?,챌섭 사냥 질문,후보,Y,,,,
키네,,직업,11,3,16,0.45454545454545453,0.7356333955310784,3.05328311527269,하버 본캐 썬콜VS키네VS제논 (투표),대적자 큐브 사용처 질문있습니다 !,챌섭 링크3렙 관련,후보,Y,,,,
체급,,직업,9,3,18,0.4444444444444444,0.7429934829121467,2.841256562995967,루미너스 윈브 중에 본캐 추천 부탁드립니다!,체급 좋고 극딜쎈 직업 뭐 있음?,카이저 바이퍼 둘중,후보,N,,,,
나워,,직업,8,5,21,0.375,0.6694732189401628,2.8199856460263053,챌섭 실수로 나워 리프시켰는데 버닝없이 정축 여축30 가능할까요?,"나로, 나워 본캐 튜표해주세요",레테 계속 밀까요? 나워 부캐 시작할까요?,후보,Y,,,,
나로,,직업,7,3,12,0.7142857142857143,0.9035138722341549,2.8022169897987776,나로 제네패스플러스로 받는 코인으로 보조 윗잠 돌릴까요?,"나로, 나워 본캐 튜표해주세요",메잘알 형들 나로 질문이요ㅜㅜ,후보,Y,,,,
추천부탁드립니다,,직업,9,3,13,0.3333333333333333,0.6961648147281727,2.7649210734382113,루미너스 윈브 중에 본캐 추천 부탁드립니다!,10억있는데 카유잠 어디에 쓸지 추천부탁드립니다,부캐 방어구 질문,후보,N,,,,
아크,,직업,12,1,14,0.4166666666666667,0.7437641839522239,2.7013658713083526,어려운 직업 위주로 하시는 분 있나요,메짱님들 골클벨 잠재 33%인데 팔리나요? 조언 구합니다,쿨뚝 띄우려는데 질문좀요!!,후보,Y,,,,
레테 본캐,,직업,11,1,12,0.45454545454545453,0.7804168738734975,2.6720749807671855,본캐 추천 부탁드리겠습니다....,5테르넬..? 6테르넬..? 본캐세팅 추천 부탁드림다,헥환 7만 중반 ~ 8만 목표 레테 템세팅 조언 부탁드립니다.,후보,N,,,,
레벨링,,직업,7,3,11,0.5714285714285714,0.8085404761848526,2.6624039483125714,모험가 자전,본섭 깡통케릭들 유챔용으로 살릴만한가요?,레테 계속 밀까요? 나워 부캐 시작할까요?,후보,Y,,,,
카인,,직업,8,2,13,0.5,0.7892817609838471,2.613598459112678,님들 링크 3렙 찬란한영웅의 증거 질문 있습니다,어려운 직업 위주로 하시는 분 있나요,카인 해방큐브 윗잠 질문이요,후보,Y,,,,
키우기,,직업,7,2,9,0.7142857142857143,0.8878696569961022,2.6097830385796272,뉴비 검마까지 방향성 조언좀....,250물약 사용처 질문,아직도 본캐를 못정한 유저 조언부탁드립니다,후보,N,,,,
플위,,직업,9,2,12,0.3333333333333333,0.625408625680012,2.4880776556184836,본캐 데티해방까지 본캐만 쭉 투자해도되나요?,자전 질문,히어로 플위,후보,Y,,,,
280까지,,직업,10,1,11,0.4,0.7018336909916849,2.4647007051165097,메이플 쌩뉴비 질문드려요...,사우나 어디에 쓰는게낫나요?,레테 유입 질문하나만 받아주십쇼~,후보,N,,,,
렌이,,직업,9,1,11,0.4444444444444444,0.7709191522662809,2.4628121316548532,대적자 코인 사용에 대해 질문합니다,대적자 코인 쓸 곳 질문드립니다.,레테 윗잠 올이탈 보조(보방마) 쭉가져갈만 한가요?,후보,N,,,,
블래스터,,직업,6,2,9,0.6666666666666666,0.8822330593140968,2.4349041081781047,챌섭 유입 블래스터 챌린저 템세팅 질문드려요,블래스터 매그팡도 안됨,복귀유저 직업 네개중에 뭐가 괜춘할까요?,후보,Y,,,,
링크3렙,링크 3렙,직업,6,3,10,0.5,0.7600351533379034,2.4246168847129996,챌섭>본섭 리프 (유챔x) 헥환 상승 큰가요?,챌섭 환산 차이,챌섭 링크3렙 관련,후보,Y,,,,
찐뉴비,,직업,5,5,10,0.4,0.7533915283800685,2.415191686378235,찐뉴비 아란 60억 모았음.. 템셋 추천좀 해주십쇼,찐뉴비 지금이라도 시작해볼까하는데 추천좀요!,찐뉴비 앞으로 스펙업 계획..챌가능할까요,후보,N,,,,
섀도어,,직업,7,2,15,0.42857142857142855,0.7374814937598231,2.401887077032322,섀도어 뚝,어려운 직업 위주로 하시는 분 있나요,검마 솔격 문의용,후보,Y,,,,
좋고,,직업,10,1,11,0.3,0.6486412179418282,2.3876640789603565,템 가성비 셋팅 질문,본캐 추천 부탁드리겠습니다....,체급 좋고 극딜쎈 직업 뭐 있음?,후보,N,,,,
배메,,직업,6,2,14,0.5,0.7792859641935431,2.3017291521897194,법사 본캐 추천점요,템세팅 질문(무자본),복귀뉴비 200레벨비약 질문이 있습니다,후보,Y,,,,
